t,v
8.024,-0.132419
8.041,-0.110808
8.058,-0.144352
8.075,-0.13262
8.092,-0.175499
8.109,-0.234272
8.126,-0.150536
8.143,-0.0628431
8.16,0.027185
8.177,0.0749118
8.194,0.0694876
8.211,0.0222277
8.228,0.113921
8.245,0.159535
8.262,0.113955
8.279,0.202975
8.296,0.197895
8.313,0.120441
8.33,0.102965
8.347,0.121605
8.364,0.19111
8.381,0.137552
8.398,0.14275
8.415,0.186602
8.432,0.323865
8.449,0.352861
8.466,0.398532
8.483,0.467972
8.5,0.497279
8.517,0.380404
8.534,0.480182
8.551,0.561536
8.568,0.50342
8.585,0.539637
8.602,0.422563
8.619,0.41148
8.636,0.403002
8.653,0.382137
8.67,0.44862
8.687,0.399321
8.704,0.505462
8.721,0.532853
8.738,0.518119
8.755,0.422757
8.772,0.45445
8.789,0.483055
8.806,0.537088
8.823,0.599415
8.84,0.552102
8.857,0.591509
8.874,0.636312
8.891,0.624782
8.908,0.693132
8.925,0.75153
8.942,0.607831
8.959,0.648745
8.976,0.59523
8.993,0.531728
9.01,0.563724
9.027,0.574069
9.044,0.552227
9.061,0.372637
9.078,0.400555
9.095,0.355634
9.112,0.39026
9.129,0.335871
9.146,0.308865
9.163,0.344883
9.18,0.294773
9.197,0.35413
9.214,0.399848
9.231,0.422438
9.248,0.490007
9.265,0.460282
9.282,0.420385
9.299,0.360551
9.316,0.382575
9.333,0.327612
9.35,0.277572
9.367,0.31852
9.384,0.377597
9.401,0.314012
9.418,0.375348
9.435,0.299664
9.452,0.357023
9.469,0.318928
9.486,0.361405
9.503,0.367
9.52,0.45306
9.537,0.430233
9.554,0.472597
9.571,0.483433
9.588,0.59156
9.605,0.626952
9.622,0.719481
9.639,0.735691
9.656,0.812092
9.673,0.898017
9.69,0.897104
9.707,0.886463
9.724,0.943842
9.741,0
9.758,-0.0235278
9.775,0.0246914
9.792,0.104419
9.809,0.0836297
9.826,0.109555
9.843,0.0351227
9.86,0.00670805
9.877,0.0406789
9.894,0.0370059
9.911,0.0929377
9.928,0.0848347
9.945,0.111868
9.962,0.212821
9.979,0.136685
9.996,0.202383
10.013,0.140143
10.03,0.0725862
10.047,-0.0357497
10.064,-0.0381453
10.081,-0.0570356
10.098,-0.140689
10.115,-0.10656
10.132,-0.0998337
10.149,-0.134552
10.166,-0.16903
10.183,-0.203933
10.2,-0.238456
10.217,-0.137185
10.234,-0.0718772
10.251,-0.118012
10.268,-0.166239
10.285,-0.140116
10.302,-0.202851
10.319,-0.170362
10.336,-0.172269
10.353,-0.170493
10.37,-0.0766377
10.387,-0.100813
10.404,-0.0707492
10.421,-0.0661074
10.438,-0.148967
10.455,-0.200015
10.472,-0.259296
10.489,-0.329917
10.506,-0.378586
10.523,-0.409817
10.54,-0.400533
10.557,-0.426678
10.574,-0.444668
10.591,-0.435496
10.608,-0.391863
10.625,-0.3187
10.642,-0.191493
10.659,-0.195317
10.676,-0.186629
10.693,-0.14976
10.71,-0.225448
10.727,-0.178297
10.744,-0.204551
10.761,-0.239122
10.778,-0.298012
10.795,-0.275262
10.812,-0.208066
10.829,-0.220251
10.846,-0.258429
10.863,-0.214184
10.88,-0.261926
10.897,-0.238984
10.914,-0.213399
10.931,-0.210219
10.948,-0.337519
10.965,-0.34177
10.982,-0.250054
10.999,-0.252282
11.016,-0.295491
11.033,-0.182791
11.05,-0.160803
11.067,-0.121228
11.084,-0.105163
11.101,-0.118121
11.118,-0.161335
11.135,-0.142219
11.152,-0.11654
11.169,-0.0511198
11.186,-0.0604344
11.203,-0.0533568
11.22,-0.114611
11.237,-0.0715363
11.254,-0.10239
11.271,-0.0996626
11.288,-0.10271
11.305,-0.0751332
11.322,-0.0142963
11.339,-0.0563431
11.356,-0.123018
11.373,-0.0492004
11.39,-0.203054
11.407,-0.212064
11.424,-0.221846
11.441,-0.147578
11.458,-0.133272
11.475,-0.0720334
11.492,-0.0913492
11.509,-0.0561245
11.526,-0.121722
11.543,-0.124691
11.56,-0.199972
11.577,-0.130177
11.594,-0.0346484
11.611,0.0105634
11.628,0.0859031
11.645,0.00991882
11.662,0.00253629
11.679,-0.0525066
11.696,-0.0804439
11.713,-0.132187
11.73,-0.115535
11.747,-0.0590054
11.764,-0.0556765
11.781,-0.144788
11.798,-0.175432
11.815,-0.3061
11.832,-0.240888
11.849,-0.261641
11.866,-0.207641
11.883,-0.244329
11.9,-0.207127
11.917,-0.221191
11.934,-0.240744
11.951,-0.29692
11.968,-0.331854
11.985,-0.327041
12.002,-0.358653
12.019,-0.39497
12.036,-0.368193
12.053,-0.328014
12.07,-0.207858
12.087,-0.235755
12.104,-0.23285
12.121,-0.158776
12.138,-0.170928
12.155,-0.231281
12.172,-0.11394
12.189,-0.0299956
12.206,-0.161003
12.223,-0.0361988
12.24,-0.148708
12.257,-0.0777302
12.274,-0.110456
12.291,-0.0726113
12.308,-0.0976849
12.325,-0.0114421
12.342,0.0889865
12.359,0.0845457
12.376,0.0703521
12.393,-0.00256248
12.41,-0.0236737
12.427,-0.0220177
12.444,-0.0140947
12.461,0.0932064
12.478,0.0781498
12.495,-0.0110568
12.512,-0.0594361
12.529,0.0555739
