0 0
0.835 0.627467 1.70562
0.836 0.627567 1.7056
0.837 0.627967 1.70644
0.838 0.628533 1.70783
0.839 0.627833 1.7066
0.84 0.628 1.70673
0.841 0.627967 1.70688
0.842 0.6286 1.70797
0.843 0.628967 1.70873
0.844 0.6288 1.70817
0.845 0.629033 1.70821
0.846 0.629167 1.70848
0.847 0.629633 1.70945
0.848 0.630167 1.71011
0.849 0.630033 1.70939
0.85 0.6301 1.70953
0.851 0.629333 1.70794
0.852 0.629367 1.70801
0.853 0.6297 1.7087
0.854 0.6298 1.70891
0.855 0.6304 1.71037
0.856 0.6304 1.71015
0.857 0.630333 1.71001
0.858 0.630467 1.71007
0.859 0.630267 1.70965
0.86 0.630533 1.71043
0.861 0.6307 1.711
0.862 0.630133 1.70982
0.863 0.630333 1.71046
0.864 0.630767 1.7118
0.865 0.6307 1.71144
0.866 0.630433 1.71044
0.867 0.630533 1.71109
0.868 0.630333 1.71068
0.869 0.630833 1.71194
0.87 0.630467 1.71118
0.871 0.630433 1.71133
0.872 0.630333 1.71135
0.873 0.629867 1.71038
0.874 0.629767 1.71039
0.875 0.629967 1.71059
0.876 0.629567 1.70953
0.877 0.6295 1.70962
0.878 0.6304 1.71171
0.879 0.631267 1.71328
0.88 0.631767 1.71476
0.881 0.631867 1.71497
0.882 0.631833 1.71512
0.883 0.632433 1.71636
0.884 0.632533 1.71635
0.885 0.632467 1.71599
0.886 0.6326 1.71648
0.887 0.633267 1.71808
0.888 0.633233 1.71757
0.889 0.633333 1.718
0.89 0.6337 1.71876
0.891 0.6341 1.71981
0.892 0.6345 1.72041
0.893 0.634233 1.71986
0.894 0.6346 1.72084
0.895 0.634967 1.72137
0.896 0.634767 1.72163
0.897 0.634867 1.72206
0.898 0.634733 1.72222
0.899 0.635 1.723
0.9 0.635167 1.72312
0.901 0.634667 1.72186
0.902 0.634867 1.72161
0.903 0.634667 1.7212
0.904 0.6342 1.72023
0.905 0.634367 1.7208
0.906 0.634467 1.72145
0.907 0.634633 1.72202
0.908 0.635367 1.72331
0.909 0.635467 1.72352
0.91 0.6355 1.72358
0.911 0.635333 1.72368
0.912 0.635333 1.72346
0.913 0.635333 1.72368
0.914 0.6353 1.72406
0.915 0.635 1.72366
0.916 0.635433 1.725
0.917 0.635467 1.72463
0.918 0.634867 1.72361
0.919 0.635333 1.72435
0.92 0.6354 1.72427
0.921 0.636133 1.72578
0.922 0.635433 1.72411
0.923 0.634433 1.72205
0.924 0.6339 1.72073
0.925 0.6334 1.71992
0.926 0.633667 1.72047
0.927 0.634133 1.7221
0.928 0.634233 1.7223
0.929 0.634667 1.7232
0.93 0.6348 1.72325
0.931 0.635533 1.72476
0.932 0.635333 1.72391
0.933 0.6353 1.72406
0.934 0.634733 1.72267
0.935 0.634133 1.72143
0.936 0.634733 1.72245
0.937 0.634633 1.72202
0.938 0.634533 1.72203
0.939 0.634533 1.72248
0.94 0.634933 1.7233
0.941 0.6345 1.72263
0.942 0.634833 1.72354
0.943 0.6355 1.72492
0.944 0.635533 1.72454
0.945 0.6358 1.72509
0.946 0.635367 1.72464
0.947 0.635333 1.72457
0.948 0.6357 1.72577
0.949 0.635567 1.72572
0.95 0.635567 1.7255
