# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 3.5
# D = 0.1
# tau_a = 10
# Delta = 0.1
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 1
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0.386,0.974629,0.0178414
0.387,0.972904,-0.00186159
0.388,0.965553,0.0161287
0.389,0.958351,0.00771947
0.39,0.973796,0.00797922
0.391,0.946256,0.0181604
0.392,0.971601,0.022084
0.393,0.958418,0.00663407
0.394,0.9627,0.00971256
0.395,0.971725,0.0143582
0.396,0.961677,0.0287993
0.397,0.968161,0.00351757
0.398,0.969072,0.00897502
0.399,0.970431,0.011002
0.4,0.962757,0.0100817
0.401,0.970671,0.0296131
0.402,0.970942,0.0275495
0.403,0.952738,-0.00271816
0.404,0.971345,0.0226649
0.405,0.955233,0.0249602
0.406,0.978787,0.00965482
0.407,0.966951,-0.0151405
0.408,0.970304,0.00469908
0.409,0.971826,-0.00118427
0.41,0.977426,0.0195719
0.411,0.970313,0.0137691
0.412,0.956101,-0.00415379
0.413,0.952943,-0.0124754
0.414,0.956096,0.00864551
0.415,0.971957,0.0133533
0.416,0.967254,0.00122124
0.417,0.962107,0.0080215
0.418,0.965162,0.00952503
0.419,0.971071,0.0149744
0.42,0.967025,0.0307051
0.421,0.952328,0.00539073
0.422,0.967144,0.00836239
0.423,0.949456,0.00466263
0.424,0.959959,0.000416308
0.425,0.976818,0.0131102
0.426,0.977754,-0.0147632
0.427,0.953428,0.00658185
0.428,0.950378,0.00229204
0.429,0.970722,0.00962275
0.43,0.95145,-0.0198581
0.431,0.963473,0.00479501
0.432,0.961235,0.00618917
0.433,0.977907,0.0252906
0.434,0.961681,-0.00133635
0.435,0.981383,0.00835654
0.436,0.948338,-0.0181621
0.437,0.97927,0.0227825
0.438,0.973491,0.00581055
0.439,0.966168,-0.0184869
0.44,0.964094,-0.00555498
0.441,0.962102,0.015483
0.442,0.95885,-0.00637049
0.443,0.96228,-0.00221906
0.444,0.97653,0.00603434
0.445,0.978749,0.028211
0.446,0.96365,0.00726223
0.447,0.962024,0.00050249
0.448,0.963212,-0.00728753
0.449,0.974502,0.0222888
0.45,0.95588,0.0028718
0.451,0.958514,-0.0141643
0.452,0.973113,-0.00859238
0.453,0.967341,-0.00748594
0.454,0.964342,0.00726299
0.455,0.977054,0.00312373
0.456,0.967089,-0.00666181
0.457,0.972664,0.000791148
0.458,0.949335,0.00152807
0.459,0.973465,0.0113991
0.46,0.959336,-0.0189177
0.461,0.960489,0.0238432
0.462,0.963242,-0.00896984
0.463,0.978732,0.00187223
0.464,0.984565,0.00376161
0.465,0.947498,-0.0108064
0.466,0.97712,0.014867
0.467,0.970446,-0.00737591
0.468,0.968241,0.00918668
0.469,0.966555,0.00760296
0.47,0.974338,0.012263
0.471,0.977312,0.000819391
0.472,0.98112,-0.000563164
0.473,0.978615,0.0035459
0.474,0.959622,0.00777943
0.475,0.965876,0.000339172
0.476,0.962445,-0.000919755
0.477,0.9858,-0.0100545
0.478,0.967286,-0.00160109
0.479,0.969975,0.00203288
0.48,0.963307,-0.00554181
0.481,0.969937,0.00155256
0.482,0.948917,-0.0144789
0.483,0.985792,0.0121506
0.484,0.965442,-0.00781547
0.485,0.982426,0.00728893
0.486,0.948991,-0.016465
0.487,0.960739,-0.00708941
0.488,0.959481,-0.0151897
0.489,0.956659,-0.0168944
0.49,0.985181,-0.00379985
0.491,0.97343,-0.0108358
0.492,0.963372,-0.00368441
0.493,0.964897,-0.00308162
0.494,0.974949,-0.020959
0.495,0.962022,-0.00185277
0.496,0.981545,0.00785273
0.497,0.958878,0.00321821
0.498,0.966693,-0.0184281
0.499,0.972312,-0.0124167
0.5,0.968599,-0.0203627
0.501,0.98468,-0.0224347
0.502,0.97396,-0.0120334
0.503,0.973464,-0.0153562
0.504,0.968476,0.00307035
0.505,0.939385,-0.0121301
0.506,0.964095,-0.0150601
0.507,0.965568,-0.0110402
0.508,0.955558,-0.00512461
0.509,0.976398,-0.0111276
0.51,0.967943,-0.00215503
0.511,0.980523,-0.00138237
0.512,0.983674,-0.00431537
0.513,0.982555,-0.00147836
0.514,0.955346,0.00655908
0.515,0.97119,0.00355225
0.516,0.961791,-0.00221405
0.517,0.976821,-0.00233747
0.518,0.969878,0.00448665
0.519,0.978782,-0.00937918
0.52,0.968794,0.0112808
0.521,0.966021,-0.00142074
0.522,0.979631,-0.00758394
0.523,0.968764,-0.00707321
0.524,0.933951,-0.00529586
0.525,0.973303,-0.003342
0.526,0.94199,-0.00436389
0.527,0.976101,-0.0242903
0.528,0.966303,-0.00749969
0.529,0.979104,-0.0201835
0.53,0.988949,0.0115636
0.531,0.952932,0.00394389
0.532,0.937923,-0.0235441
0.533,0.970989,0.00716606
0.534,0.9679,0.000817568
0.535,0.989972,0.0216738
0.536,0.964168,-0.00825942
0.537,0.965987,-0.0115697
0.538,0.983426,-0.00140366
0.539,0.969834,-0.00898174
0.54,0.977658,-0.0169379
0.541,0.965838,-0.00100505
0.542,0.977008,-0.0107912
0.543,0.96943,-0.0212402
0.544,0.956087,0.00321704
0.545,0.987258,-0.0033478
0.546,0.967616,-0.00916034
0.547,0.964704,-0.0133271
0.548,0.960806,-0.019958
0.549,0.973728,-0.0230583
0.55,0.959046,-0.0300302
0.551,0.967838,-0.0129138
0.552,0.986733,0.0140327
0.553,0.978367,-0.0151128
0.554,0.972586,-0.000889662
0.555,0.983939,-0.0170433
0.556,0.962291,-0.0239889
0.557,0.982529,-0.00198074
0.558,0.97465,-0.018521
0.559,0.980941,0.0119837
0.56,0.955703,-0.00100196
0.561,0.98123,-0.0181182
0.562,0.957583,0.0223066
0.563,0.980414,-0.0121017
0.564,0.975512,-0.00588121
0.565,0.959944,-0.016082
0.566,0.98,-0.0196045
0.567,0.992506,-0.00352082
0.568,0.965974,-0.0321577
0.569,0.971082,-0.0080352
0.57,0.969804,-0.0117878
0.571,0.967964,-0.00900081
0.572,0.963942,-0.0101602
0.573,0.973256,-0.0160312
0.574,0.955259,-0.0135621
0.575,0.965557,-0.0327765
0.576,0.970694,-0.0241056
0.577,0.980055,-0.0352694
0.578,0.97031,-0.00775094
0.579,0.982533,-0.0132401
0.58,0.966632,-0.0114887
0.581,0.991312,-0.0311102
0.582,0.966073,0.0170935
0.583,0.95611,-0.00889353
0.584,0.943306,-0.021817
0.585,0.970494,-0.0177007
0.586,0.967395,-0.0144119
0.587,0.950003,-0.0240312
0.588,0.979169,-0.0362682
0.589,0.986956,-0.00417351
0.59,0.967934,-0.01502
0.591,0.966326,0.00757121
0.592,0.963569,-0.00705573
0.593,0.956894,0.00480675
0.594,0.961103,0.00839325
0.595,0.979275,-0.0168726
0.596,0.962846,-0.0296355
0.597,0.96743,-0.00487542
0.598,0.964699,0.0224932
0.599,0.970749,-0.0134858
0.6,0.957253,0.00840933
0.601,0.987078,-0.0183293
0.602,0.952006,0.0182805
0.603,0.972637,-0.0209098
0.604,0.989681,-0.024108
0.605,0.992682,-0.0228732
0.606,0.963937,-0.0102783
0.607,0.986237,-0.0205684
0.608,0.974791,-0.0240943
0.609,0.977453,-0.0281074
0.61,0.968956,-0.00965597
0.611,0.980914,-0.047951
0.612,0.986721,-0.0169248
0.613,0.983232,-0.0369976
0.614,0.977844,0.0105372
0.615,0.974615,-0.0514555
0.616,0.972898,-0.0082936
0.617,0.975597,-0.024649
0.618,0.960618,-0.00202801
0.619,0.973635,-0.00507802
0.62,0.965577,-0.00901788
