# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 3e-06
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0.726,0.528665,1.61437,-43.0643,62.5257
0.728,-0.570907,2.76318,16.3917,31.8238
0.73,8.38841,1.87679,-16.5035,56.2498
0.732,0.73815,3.88052,-36.6136,24.5433
0.734,4.36263,1.32736,-0.942605,20.86
0.736,0.987439,0.718104,-98.2686,-2.48578
0.738,6.31083,0.358159,-33.3262,-65.2244
0.74,2.20402,-1.28466,53.1237,8.15792
0.742,4.80411,-1.97897,40.4968,-35.0958
0.744,2.11016,2.47433,-35.2974,10.7425
0.746,4.81359,1.9445,31.6272,7.04901
0.748,5.00469,-1.9898,-52.3311,26.2642
0.75,1.91558,-1.32289,19.2086,31.171
0.752,5.05134,0.85544,-13.7681,40.7971
0.754,1.93719,1.51315,-13.1266,-29.9192
0.756,2.70541,2.56073,-20.6087,39.5404
0.758,1.86223,-1.57044,31.3957,0.563215
0.76,0.569273,2.45104,-70.1231,-11.2289
0.762,3.61657,0.965738,-11.6545,-25.3884
0.764,2.61107,-1.71413,31.638,30.3894
0.766,0.953366,1.02089,-44.8864,-2.93564
0.768,4.96955,2.67966,22.7408,-38.8854
0.77,1.55316,-2.92456,1.40822,23.7765
0.772,1.25116,-0.590598,-27.8388,8.08291
0.774,-0.0616085,-1.98343,5.46467,2.35816
0.776,4.29359,0.857225,-22.1182,10.6352
0.778,0.601407,3.49732,-6.51905,-50.6325
0.78,-0.805113,-3.56959,-37.4613,-2.02056
0.782,4.3036,3.38171,13.5476,0.194586
0.784,1.62397,2.27966,0.464822,3.68618
0.786,0.307973,-0.285607,-1.52121,-7.91363
0.788,2.7261,0.279292,-11.9687,10.1887
0.79,5.03839,-3.53521,20.9866,-18.505
0.792,-0.332914,6.50799,-7.65605,6.69152
0.794,2.57138,1.50618,18.7284,5.77025
0.796,3.39595,-0.148201,39.8363,-6.61568
0.798,5.49951,-2.42424,-57.363,26.8175
0.8,4.8508,0.361212,21.05,24.47
0.802,-0.600069,0.137022,16.6415,-4.74072
0.804,-0.433299,-2.35734,27.3442,19.2451
0.806,2.22216,2.47925,41.1061,-73.6285
0.808,2.87048,1.85336,14.9168,-9.039
0.81,-1.96002,0.0595337,-8.43251,39.1116
0.812,6.45544,1.89139,21.4701,2.8973
0.814,4.18827,4.44371,-1.68529,8.25045
0.816,1.36105,-0.935483,12.6426,65.7186
0.818,6.52419,2.77031,-40.5381,11.1991
0.82,5.39655,4.90125,-63.7379,-23.5284
0.822,7.74937,-3.8394,49.9174,-9.89733
0.824,8.72818,2.32034,28.6057,-45.0809
0.826,4.29404,0.722629,24.5669,5.24113
0.828,2.1478,0.445393,-15.5344,10.0153
0.83,2.74373,-0.659049,-16.8658,-15.2357
0.832,4.46677,-2.56576,3.7631,22.3326
0.834,7.91897,2.09015,-33.4419,31.2112
0.836,5.70899,0.00836563,-44.2971,-25.9527
0.838,7.02831,-0.7967,-7.43895,23.4826
0.84,3.11624,-3.19499,-36.4131,9.27241
0.842,9.82722,-2.76371,91.5834,0.296515
0.844,9.2775,-0.755256,39.8025,-69.9888
0.846,3.05983,1.87079,75.4067,-14.4678
0.848,1.31804,-1.11795,-10.3079,12.0354
0.85,5.55355,5.58363,35.7146,7.27932
0.852,3.3344,-2.77827,8.53036,13.3942
0.854,5.42203,-5.48244,9.24382,23.0387
0.856,4.39167,6.8815,9.95096,28.7624
0.858,-2.22116,-2.88084,-1.84824,15.3885
0.86,4.94466,5.83784,37.6428,35.8412
0.862,0.584385,-1.815,-2.26654,-1.12282
0.864,1.22705,13.1144,-9.69899,-17.2889
0.866,6.70233,-1.46031,-16.3678,-24.9434
0.868,0.0554739,4.46485,26.2363,-10.499
0.87,0.321949,-1.30388,31.1061,-57.0641
0.872,2.74838,-4.19156,56.0048,-29.5622
0.874,1.79721,2.29578,59.1684,24.9946
0.876,-0.0851649,-2.8257,38.435,-20.8928
0.878,0.563393,-2.09755,17.402,-7.31068
0.88,4.10692,1.87693,17.2232,-19.852
0.882,-1.02124,6.27981,2.97724,-86.0731
0.884,8.58448,-7.50632,-10.8589,26.7035
0.886,2.6742,-7.99459,-34.9934,0.703711
0.888,3.58873,-4.92868,-3.0317,-4.36319
0.89,7.42664,1.44017,50.1598,12.0894
0.892,10.0675,-1.53308,-46.5254,26.4528
0.894,6.48141,-3.37515,-18.0688,49.5391
0.896,2.51715,-5.06841,-58.7606,77.7035
0.898,0.8004,2.39463,-12.0498,36.2967
