# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 3
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0.582,2.29206,-1.01766,-0.712472,0.0910604
0.584,2.23732,-1.00777,-0.563623,0.198625
0.586,2.30723,-1.06929,0.255841,0.68072
0.588,2.1239,-1.03722,0.461093,-0.012353
0.59,2.18145,-1.02905,-0.614417,0.00242156
0.592,2.23861,-1.06183,0.0190533,0.131545
0.594,2.21803,-0.97877,0.329706,0.677832
0.596,2.11238,-1.02842,-0.482921,-0.159704
0.598,2.20711,-0.915953,-0.743819,-0.315726
0.6,2.11295,-1.02289,0.483391,-0.489774
0.602,2.08661,-0.929412,-0.166582,-0.0256434
0.604,2.03075,-0.928251,0.0479317,-0.129169
0.606,2.0567,-0.912922,0.519669,0.212477
0.608,2.01333,-0.908856,-0.334693,-0.256759
0.61,2.10455,-0.873584,-0.343938,-0.318973
0.612,2.11241,-0.812893,-0.0595952,0.134639
0.614,2.11478,-0.908791,-0.153706,-0.152495
0.616,2.1449,-0.876452,-0.445481,0.917654
0.618,2.02393,-0.811627,-0.258195,-0.24956
0.62,2.11432,-0.797777,-0.228646,0.0997523
0.622,2.00655,-0.776524,-0.290059,-0.284395
0.624,2.00123,-0.816169,-0.373551,-0.15909
0.626,2.07877,-0.846863,-0.458671,0.468976
0.628,2.02556,-0.729581,0.0445625,-0.0485694
0.63,2.01349,-0.781308,0.575506,-0.642311
0.632,2.03585,-0.767156,-0.41081,0.25901
0.634,2.08387,-0.786891,-0.0831796,0.0242027
0.636,2.01115,-0.785679,0.109276,0.683024
0.638,2.02233,-0.677532,-0.689678,-0.249948
0.64,1.99282,-0.79929,0.505554,0.844217
0.642,2.02825,-0.748299,-0.0051785,-0.452882
0.644,1.97524,-0.675894,-0.289732,-0.301948
0.646,1.91402,-0.79958,-0.178027,-0.482708
0.648,2.00072,-0.746688,0.380562,-0.0750232
0.65,2.02238,-0.742862,0.27742,-0.252433
0.652,2.02329,-0.71019,-0.145672,-0.15423
0.654,1.97137,-0.65958,0.197529,0.126197
0.656,1.95414,-0.656743,0.346616,0.455078
0.658,1.98667,-0.594972,0.458162,-0.000470764
0.66,1.96463,-0.672727,0.107116,-0.20515
0.662,2.01498,-0.660689,0.496908,0.0671141
0.664,1.91689,-0.610324,0.629363,-0.195668
0.666,2.03406,-0.711067,0.586721,-0.667991
0.668,1.97437,-0.663791,0.451628,0.368721
0.67,1.95897,-0.640507,0.11402,0.213561
0.672,1.99328,-0.538627,-0.450264,0.434812
0.674,1.96648,-0.649808,-0.670731,-0.371185
0.676,1.97817,-0.574891,-0.752457,0.159383
0.678,2.04802,-0.574533,0.362168,-0.01159
0.68,2.00472,-0.633982,0.0130864,0.976375
0.682,1.98148,-0.574902,0.0588731,-0.30545
0.684,1.97319,-0.590851,0.308034,-0.522612
0.686,1.89092,-0.506772,-0.498702,-0.202858
0.688,1.86726,-0.575868,0.429739,-0.654048
0.69,1.97379,-0.525492,-0.283808,0.458618
0.692,1.93174,-0.582733,0.542145,0.401594
0.694,2.01471,-0.525194,-0.182663,-0.137201
0.696,1.96518,-0.547067,-0.314077,-0.545781
0.698,2.02349,-0.596729,0.168536,-0.0214344
0.7,1.96554,-0.518521,-0.0101863,-0.583295
0.702,2.00506,-0.579669,1.04648,-0.446036
0.704,1.96981,-0.535352,0.933075,-0.117812
0.706,1.91175,-0.511078,0.0226157,-0.520108
0.708,2.04701,-0.452026,0.617375,0.453315
0.71,1.99801,-0.499563,0.382413,-0.216415
0.712,1.98988,-0.492928,0.503361,-0.272161
0.714,1.96607,-0.569762,-0.0325413,0.303974
0.716,1.95971,-0.42989,-0.0968519,-0.530844
0.718,1.98157,-0.48083,0.752955,0.0482163
0.72,1.96773,-0.502061,0.126171,0.0786896
0.722,1.99441,-0.465488,-0.0217028,-0.678247
0.724,1.90923,-0.43068,-0.327659,0.574836
0.726,2.03634,-0.57315,-0.10566,-0.277212
0.728,2.02309,-0.451722,-1.15746,-0.521443
0.73,1.99797,-0.424067,0.163181,-0.360069
0.732,2.08951,-0.497335,-0.763145,0.143921
0.734,2.06186,-0.412316,0.487577,0.201164
0.736,1.86781,-0.325778,0.492995,0.284294
0.738,1.98017,-0.46861,0.221269,-0.991039
0.74,1.93678,-0.426722,0.135691,0.108726
0.742,2.09729,-0.484949,-0.250592,0.5078
0.744,2.09512,-0.415749,0.32678,0.216925
0.746,2.06017,-0.41314,0.0161582,-0.424028
0.748,2.05277,-0.463766,-0.0858327,0.379136
0.75,2.10446,-0.52951,-6.90936e-05,0.210911
0.752,2.12692,-0.403167,-0.0668176,-0.653264
0.754,2.09741,-0.356409,0.470411,0.196477
0.756,2.05783,-0.365149,-0.275713,0.254779
0.758,2.03817,-0.488021,-0.53209,-0.1955
0.76,2.06947,-0.421724,-0.486929,-0.549871
0.762,2.01663,-0.413687,0.22678,0.811093
0.764,2.08364,-0.389027,-0.26971,-0.0589796
0.766,2.09734,-0.370186,0.740942,-0.640837
0.768,2.05547,-0.434527,0.6883,0.0418871
0.77,2.11341,-0.415124,1.03623,0.138445
0.772,2.11014,-0.463986,0.244288,-0.360093
0.774,2.03319,-0.484237,-0.140742,0.0621143
0.776,2.03358,-0.457568,0.756326,0.495318
0.778,2.13026,-0.396815,0.426517,0.0546459
0.78,2.12817,-0.418882,0.655561,-0.0801845
0.782,2.11884,-0.420045,-0.177958,0.839798
0.784,2.16367,-0.392973,0.00346044,0.500335
0.786,2.10659,-0.4775,0.386001,0.638861
0.788,2.08015,-0.353361,0.469883,0.423291
0.79,2.09923,-0.499202,-0.816718,-0.369811
0.792,2.16078,-0.397551,-0.861659,0.15889
0.794,2.09273,-0.402585,0.333626,-0.143341
0.796,2.17399,-0.271455,0.254628,-0.699977
0.798,2.15198,-0.480141,0.180672,-0.215943
0.8,2.21303,-0.328688,0.341699,0.162912
0.802,2.23696,-0.4318,0.206605,-0.167627
0.804,2.1266,-0.446527,-0.232103,0.0538862
0.806,2.14055,-0.360278,-0.414787,0.619708
0.808,2.09434,-0.345558,0.0727957,-0.0295255
0.81,2.10459,-0.400803,0.107674,-0.35436
0.812,2.2089,-0.343776,-0.32681,-0.144605
0.814,2.11919,-0.46531,-0.164569,0.0443464
0.816,2.22763,-0.436229,0.881064,0.443969
0.818,2.18516,-0.393496,0.139741,-0.283961
0.82,2.29872,-0.499334,1.03473,-0.578054
0.822,2.21892,-0.434126,-0.017942,-0.364573
0.824,2.18762,-0.465722,0.474758,0.160171
0.826,2.34524,-0.373134,-0.582366,-0.0962751
0.828,2.25736,-0.34064,0.126898,0.449273
0.83,2.21369,-0.366616,0.506394,-0.297257
0.832,2.19222,-0.480349,0.0542536,0.723349
0.834,2.21863,-0.476054,0.464357,0.556346
0.836,2.21288,-0.522875,-0.336238,-1.12506
0.838,2.15504,-0.471527,-0.212479,0.691817
0.84,2.29075,-0.488619,0.944294,0.531384
0.842,2.22845,-0.458656,-0.418815,0.611338
0.844,2.21235,-0.490286,-0.673352,0.172399
0.846,2.11842,-0.573854,-0.148225,-0.325558
0.848,2.29016,-0.431414,-0.0399046,-0.254376
0.85,2.2151,-0.530503,0.30501,-0.180676
0.852,2.27064,-0.397135,-0.059216,0.00740903
0.854,2.24229,-0.595443,-0.258788,-0.0562063
0.856,2.24692,-0.455222,-0.0014298,-0.682517
0.858,2.26918,-0.461735,0.11577,-0.104227
0.86,2.25476,-0.587358,0.895093,-0.171315
0.862,2.32226,-0.454808,0.676737,-0.264916
0.864,2.21446,-0.422428,-0.125384,-0.447593
0.866,2.35713,-0.420618,-0.0918451,-0.417324
0.868,2.30463,-0.381164,-0.0630409,0.0730554
0.87,2.29083,-0.50075,0.579879,0.238767
0.872,2.29324,-0.551194,0.0391052,0.0102949
0.874,2.4495,-0.60546,-0.266244,-0.0651204
