# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 100000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.003
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0.582,2.36529,-0.63973,-315.14,-151.103
0.584,1.8748,-0.545132,-32.0321,-0.938869
0.586,2.68206,-0.137909,25.4109,142.982
0.588,2.53332,-0.899954,-26.4672,51.9683
0.59,2.02253,0.0166304,56.201,36.131
0.592,2.53942,-0.175523,87.6353,-87.194
0.594,2.48985,-0.505283,-97.5416,-177.062
0.596,2.94161,0.0698337,-55.4631,173.306
0.598,2.55147,-0.984186,-215.644,-0.934398
0.6,2.29618,-0.188987,-11.8115,51.1543
0.602,3.09037,-0.0105691,-118.167,-83.4382
0.604,2.52593,-0.0129006,-46.9708,-67.3419
0.606,1.75079,-0.17803,-275.909,-49.0651
0.608,2.17334,-0.188723,-9.09417,288.425
0.61,2.37554,-0.118088,-65.6239,29.4691
0.612,1.81217,-0.250862,63.9647,123.547
0.614,2.20753,-0.0788972,33.24,-22.0801
0.616,2.18852,-0.152412,239.374,267.808
0.618,2.40225,-0.130097,-85.4469,70.2702
0.62,2.28274,-0.189005,-15.8215,-69.2991
0.622,2.51005,0.0648133,126.636,-211.829
0.624,2.08153,-0.3127,-204.942,-94.6774
0.626,2.30755,0.193712,-206.022,51.6053
0.628,2.30858,-0.381757,208.875,-264.741
0.63,2.77561,-0.208083,-436.121,5.7774
0.632,2.16506,-0.0959257,-93.1317,-92.9158
0.634,2.3077,-0.13435,-24.9264,-69.3264
0.636,2.45222,-0.282292,100.401,31.9946
0.638,2.4472,0.323617,269.23,149.815
0.64,1.87596,-0.442527,-178.501,-79.5543
0.642,2.40429,-0.304079,-10.9222,18.0407
0.644,2.04848,0.115311,-308.165,-29.6747
0.646,2.86473,0.136771,13.2156,62.0568
0.648,2.81394,-0.557018,77.1388,179.007
0.65,2.00351,0.568669,240.24,140.573
0.652,2.42446,0.504075,91.7522,21.8044
0.654,2.3283,0.274594,25.4728,-3.55809
0.656,1.80725,0.120608,107.667,-158.854
0.658,2.03461,0.189133,182.387,-47.844
0.66,2.30733,0.0361281,94.0753,118.557
0.662,2.81966,-0.0991412,-251.609,361.137
0.664,2.63971,-0.726431,-49.3374,130.386
0.666,2.87986,0.160033,-42.8728,44.4274
0.668,2.48415,0.0976662,149.232,47.5507
0.67,2.658,0.184257,-17.0272,60.1564
0.672,2.44134,0.259604,-27.0514,122.492
0.674,2.63447,0.278923,-8.55145,184.462
0.676,2.69756,0.614741,-82.7987,-4.47804
0.678,2.5662,0.167844,74.8358,-77.4561
0.68,3.20987,0.31795,33.8894,202.817
0.682,2.40429,0.36972,141.024,-155.467
0.684,2.88921,0.53728,64.6505,157.494
0.686,2.39645,0.420631,198.648,73.2943
0.688,2.43149,-0.0170464,203.42,-168.59
0.69,3.05317,0.254249,173.32,-14.4706
0.692,3.11273,0.315142,-10.305,89.4589
0.694,2.88989,0.893407,-135.355,-42.9286
0.696,2.18398,1.06059,-418.157,30.3373
0.698,2.98502,0.570649,-60.8109,-110.765
0.7,2.93065,0.566236,170.457,5.08617
0.702,2.31335,0.7547,-284.242,-52.367
0.704,2.82001,0.820336,-127.581,-99.5372
0.706,2.65917,0.729586,182.404,110.662
0.708,2.06247,0.808404,-55.3083,-67.7809
0.71,1.79824,0.4482,-227.947,-3.55847
0.712,2.61601,0.372853,40.0997,-185.273
0.714,2.1867,0.537641,-41.7744,-116.3
0.716,2.38522,0.279685,20.7337,245.613
0.718,2.70619,0.621797,-32.3499,12.9988
0.72,2.68073,0.586133,230.923,45.5557
0.722,2.18629,0.419958,-106.52,-101.636
0.724,2.69013,0.691627,-61.2204,-268.026
0.726,2.30492,0.648643,55.5672,-26.6123
0.728,3.08387,0.803461,55.9543,111.058
0.73,2.41099,0.933597,-149.123,108.682
0.732,2.59802,0.316284,-57.2794,50.3048
0.734,3.078,0.39968,108.341,-15.9829
0.736,2.8689,0.738826,182.02,-199.507
0.738,2.7386,0.0359969,-157.411,97.9209
0.74,2.71122,0.544587,71.0188,-143.57
0.742,3.39492,1.39032,69.0894,-57.978
0.744,3.35753,0.456803,-50.9297,-104.535
0.746,3.66247,1.29842,20.4739,-57.2663
0.748,2.69362,0.505677,-45.7643,140.562
0.75,2.29541,1.02962,157.104,209.596
