# FiringRateSimulation
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.02
# f_low = 0
# f_high = 50
#
# Data format:
# Time, Firing rate
#
5.42,0.190038
5.43,0.290058
5.44,0.210042
5.45,0.20004
5.46,0.170034
5.47,0.15003
5.48,0.110022
5.49,0.170034
5.5,0.180036
5.51,0.170034
5.52,0.180036
5.53,0.160032
5.54,0.210042
5.55,0.120024
5.56,0.15003
5.57,0.090018
5.58,0.070014
5.59,0.070014
5.6,0.040008
5.61,0.060012
5.62,0.140028
5.63,0.070014
5.64,0.080016
5.65,0.070014
5.66,0.10002
5.67,0.10002
5.68,0.10002
5.69,0.110022
5.7,0.05001
5.71,0.060012
5.72,0.060012
5.73,0.140028
5.74,0.070014
5.75,0.030006
5.76,0.070014
5.77,0.080016
5.78,0.090018
5.79,0.040008
5.8,0.05001
5.81,0.110022
5.82,0.090018
5.83,0.010002
5.84,0.030006
5.85,0.05001
5.86,0.060012
5.87,0.040008
5.88,0.060012
5.89,0.080016
5.9,0.010002
5.91,0.040008
5.92,0.05001
5.93,0.030006
5.94,0.05001
5.95,0.120024
5.96,0.080016
5.97,0.040008
5.98,0.060012
5.99,0.060012
6,0.05001
6.01,0.030006
6.02,0.070014
6.03,0.040008
6.04,0.120024
6.05,0.120024
6.06,0.130026
6.07,0.10002
6.08,0.040008
6.09,0.090018
6.1,0.110022
6.11,0.110022
6.12,0.140028
6.13,0.10002
6.14,0.130026
6.15,0.10002
6.16,0.170034
6.17,0.140028
6.18,0.15003
6.19,0.10002
6.2,0.240048
6.21,0.15003
6.22,0.220044
6.23,0.140028
6.24,0.15003
6.25,0.110022
6.26,0.190038
6.27,0.160032
6.28,0.310062
6.29,0.220044
6.3,0.140028
6.31,0.30006
6.32,0.340068
6.33,0.310062
6.34,0.260052
6.35,0.260052
6.36,0.280056
6.37,0.360072
6.38,0.260052
6.39,0.420084
6.4,0.410082
6.41,0.40008
6.42,0.380076
6.43,0.330066
6.44,0.470094
6.45,0.330066
6.46,0.410082
6.47,0.490098
6.48,0.290058
6.49,0.390078
6.5,0.5001
6.51,0.440088
6.52,0.45009
6.53,0.510102
6.54,0.490098
6.55,0.590118
6.56,0.420084
6.57,0.45009
6.58,0.580116
6.59,0.620124
6.6,0.460092
6.61,0.590118
6.62,0.660132
6.63,0.520104
6.64,0.670134
6.65,0.60012
6.66,0.610122
6.67,0.670134
6.68,0.590118
6.69,0.760152
6.7,0.85017
6.71,0.710142
6.72,0.80016
6.73,0.720144
6.74,0.75015
6.75,0.70014
6.76,0.770154
6.77,0.85017
6.78,0.840168
6.79,0.780156
6.8,0.990198
6.81,0.840168
6.82,0.860172
6.83,0.810162
6.84,0.95019
6.85,0.740148
6.86,0.880176
6.87,0.940188
6.88,0.710142
6.89,0.90018
6.9,0.770154
6.91,0.80016
6.92,0.860172
6.93,0.920184
6.94,0.870174
6.95,0.890178
6.96,0.920184
6.97,0.75015
6.98,0.660132
6.99,0.870174
7,0.910182
7.01,0.760152
7.02,0.640128
7.03,0.80016
7.04,0.80016
7.05,1.0102
7.06,0.880176
7.07,0.810162
7.08,0.830166
7.09,0.680136
7.1,0.730146
7.11,1.06021
7.12,0.730146
7.13,0.680136
7.14,0.670134
7.15,0.85017
7.16,0.810162
7.17,0.65013
7.18,0.660132
7.19,0.920184
7.2,0.70014
7.21,0.720144
7.22,0.70014
7.23,0.70014
7.24,0.680136
7.25,0.70014
7.26,0.740148
7.27,0.710142
7.28,0.670134
7.29,0.620124
7.3,0.770154
7.31,0.75015
7.32,0.640128
7.33,0.620124
7.34,0.530106
7.35,0.570114
7.36,0.610122
7.37,0.570114
7.38,0.45009
7.39,0.610122
7.4,0.590118
7.41,0.460092
7.42,0.540108
7.43,0.670134
7.44,0.580116
7.45,0.440088
7.46,0.520104
7.47,0.530106
7.48,0.60012
7.49,0.480096
7.5,0.540108
7.51,0.45009
7.52,0.470094
7.53,0.540108
7.54,0.390078
7.55,0.530106
7.56,0.410082
7.57,0.310062
7.58,0.260052
7.59,0.270054
7.6,0.330066
7.61,0.470094
7.62,0.25005
7.63,0.340068
7.64,0.330066
7.65,0.30006
7.66,0.330066
7.67,0.390078
7.68,0.35007
7.69,0.35007
7.7,0.390078
7.71,0.380076
7.72,0.280056
7.73,0.310062
7.74,0.220044
7.75,0.290058
7.76,0.330066
7.77,0.230046
7.78,0.330066
7.79,0.280056
7.8,0.260052
7.81,0.260052
7.82,0.280056
7.83,0.240048
7.84,0.280056
7.85,0.230046
7.86,0.170034
7.87,0.240048
7.88,0.240048
7.89,0.170034
7.9,0.170034
7.91,0.170034
7.92,0.210042
7.93,0.240048
7.94,0.220044
7.95,0.230046
7.96,0.140028
7.97,0.15003
7.98,0.180036
7.99,0.140028
8,0.120024
8.01,0.20004
8.02,0.220044
8.03,0.110022
8.04,0.140028
8.05,0.180036
8.06,0.170034
8.07,0.110022
8.08,0.140028
8.09,0.15003
8.1,0.120024
8.11,0.10002
8.12,0.190038
8.13,0.180036
8.14,0.120024
8.15,0.130026
8.16,0.120024
8.17,0.180036
8.18,0.170034
8.19,0.060012
8.2,0.110022
8.21,0.130026
8.22,0.10002
8.23,0.10002
8.24,0.110022
8.25,0.120024
8.26,0.10002
8.27,0.090018
8.28,0.140028
8.29,0.15003
8.3,0.10002
8.31,0.120024
8.32,0.130026
8.33,0.110022
