# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 1
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0.34,-0.000167446,-3.02916e-05
0.341,-0.000215342,3.91155e-05
0.342,-0.000129556,3.95127e-05
0.343,-2.83407e-05,9.69143e-05
0.344,-0.000146283,5.38572e-05
0.345,-0.000162133,7.8673e-05
0.346,6.75046e-06,-3.30015e-05
0.347,-0.000143445,3.64108e-05
0.348,-1.83519e-05,-3.06462e-05
0.349,-0.000155059,-1.43199e-05
0.35,-0.000148674,3.03783e-05
0.351,-0.00013785,5.6406e-05
0.352,-6.54065e-05,-8.32884e-06
0.353,-0.000164097,8.8899e-05
0.354,-9.97672e-05,0.000111946
0.355,-8.5055e-05,6.27992e-05
0.356,-0.000105624,0.000107353
0.357,-5.29963e-05,6.97156e-05
0.358,-0.000118143,9.22506e-05
0.359,-0.000146061,0.000124599
0.36,-0.000135037,2.93734e-05
0.361,-0.000109081,2.49135e-05
0.362,1.84006e-05,0.000106895
0.363,-9.41688e-05,0.000150268
0.364,-8.39963e-05,1.05872e-05
0.365,-1.05724e-05,9.12234e-05
0.366,-0.000221976,7.69777e-05
0.367,-0.000131946,5.93557e-05
0.368,3.00458e-06,7.98518e-05
0.369,-0.000124458,0.000144712
0.37,-8.63727e-05,0.000121863
0.371,-0.000112202,0.000154168
0.372,-0.000101856,0.000120196
0.373,-8.67442e-05,8.17893e-05
0.374,-0.000101086,0.000111529
0.375,-9.48174e-05,0.000111009
0.376,-8.91583e-05,8.86543e-05
0.377,-0.000114897,0.00012297
0.378,-5.9655e-05,0.00018016
0.379,-0.00014241,0.000210295
0.38,-4.46953e-05,8.10916e-05
0.381,-4.7071e-05,7.44268e-05
0.382,-7.26813e-05,0.000189991
0.383,-0.000119407,7.66651e-05
0.384,-0.000165234,0.000167465
0.385,-6.46102e-06,0.000150335
0.386,-4.44004e-05,7.29656e-05
0.387,-0.000113923,0.00025474
0.388,-9.46415e-05,0.000214215
0.389,-0.000101676,0.000131268
0.39,-0.000123938,0.000151186
0.391,-0.000180766,0.000184709
0.392,-7.00835e-05,0.000168821
0.393,-4.27021e-05,0.000214752
0.394,-9.71575e-05,0.000192048
0.395,-0.000115457,0.000206315
0.396,1.7187e-05,0.000104418
0.397,-6.47078e-05,0.000201958
0.398,-8.32846e-05,0.000237868
0.399,-8.42419e-06,0.000159598
0.4,-7.06969e-05,0.000108706
0.401,-3.56023e-05,0.000161639
0.402,-2.14837e-05,0.000215496
0.403,-6.69466e-05,0.000217072
0.404,-7.26018e-05,0.000321794
0.405,-5.735e-05,8.90194e-05
0.406,-0.000137446,0.000164285
0.407,-7.56161e-05,0.000183621
0.408,-6.6319e-05,0.000194303
0.409,-0.000232595,0.000233238
0.41,-7.37967e-05,0.000141505
0.411,-2.17232e-05,0.000269507
0.412,-4.7588e-05,0.000200482
0.413,-5.07136e-05,0.000172813
0.414,-7.91671e-05,0.000162891
0.415,8.52221e-06,0.0001753
0.416,1.43261e-05,0.000289471
0.417,-6.70971e-06,0.000289196
0.418,-5.20317e-05,0.00012573
0.419,1.41027e-05,0.000115266
0.42,-4.60807e-05,0.000172351
0.421,-8.13029e-05,0.000170463
0.422,-6.2568e-05,0.00017879
0.423,4.7564e-06,0.000273143
0.424,-5.18536e-05,0.000257164
0.425,-8.34418e-05,0.000233341
0.426,1.40546e-05,0.000189826
0.427,-2.62415e-05,0.000227059
0.428,-4.32969e-05,0.000279767
0.429,6.61995e-06,0.000185655
0.43,-1.27488e-05,8.48777e-05
0.431,5.32988e-05,0.00017386
0.432,6.38694e-05,8.45585e-05
0.433,-6.2107e-05,0.000196624
0.434,-7.1332e-06,0.000196919
0.435,7.13913e-05,0.00017106
0.436,6.66026e-05,0.000217061
0.437,0.000122316,0.000233715
0.438,4.11646e-05,0.000127096
0.439,4.27749e-05,0.000185424
0.44,-3.08568e-05,0.000230009
0.441,6.71694e-05,0.000235226
0.442,-3.87101e-05,0.000196073
0.443,-5.63827e-05,0.000270031
