# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 1
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0.411,2.89111,1.13535
0.412,2.87334,1.07698
0.413,2.89616,1.07567
0.414,2.95698,1.10946
0.415,2.9657,1.06779
0.416,2.9797,1.05104
0.417,2.96899,1.05893
0.418,3.02262,1.04266
0.419,3.05742,1.01558
0.42,3.06828,1.04267
0.421,3.07173,1.02903
0.422,3.119,1.01328
0.423,3.14713,0.976358
0.424,3.16189,1.00167
0.425,3.14968,0.999288
0.426,3.21249,0.934321
0.427,3.22407,0.926645
0.428,3.2165,0.909592
0.429,3.27287,0.921723
0.43,3.28325,0.895619
0.431,3.31233,0.879951
0.432,3.30685,0.891671
0.433,3.33342,0.827496
0.434,3.37268,0.8206
0.435,3.37345,0.803128
0.436,3.39286,0.781664
0.437,3.40849,0.76932
0.438,3.41893,0.71992
0.439,3.43717,0.720856
0.44,3.479,0.689
0.441,3.48405,0.651014
0.442,3.48597,0.642419
0.443,3.54631,0.657533
0.444,3.54626,0.609112
0.445,3.54739,0.600289
0.446,3.52953,0.54579
0.447,3.59144,0.508385
0.448,3.56728,0.515482
0.449,3.61525,0.464441
0.45,3.60895,0.425982
0.451,3.65382,0.407262
0.452,3.66393,0.386544
0.453,3.64518,0.359554
0.454,3.6657,0.335566
0.455,3.66577,0.311903
0.456,3.67482,0.24974
0.457,3.68061,0.265714
0.458,3.71291,0.213885
0.459,3.66809,0.201073
0.46,3.69453,0.175339
0.461,3.69148,0.18008
0.462,3.72102,0.11251
0.463,3.69951,0.0818794
0.464,3.7375,0.0342099
0.465,3.71137,-0.00576437
0.466,3.73933,-0.0363991
0.467,3.72106,-0.0143683
0.468,3.69271,-0.0916576
0.469,3.73119,-0.106181
0.47,3.70877,-0.155429
0.471,3.72316,-0.18944
0.472,3.70182,-0.170761
0.473,3.6951,-0.26643
0.474,3.69639,-0.283357
0.475,3.70889,-0.272033
0.476,3.70375,-0.302494
0.477,3.64874,-0.371817
0.478,3.66489,-0.401343
0.479,3.65735,-0.397973
0.48,3.62778,-0.412401
0.481,3.70076,-0.41244
0.482,3.62049,-0.482024
0.483,3.62111,-0.530733
0.484,3.59054,-0.521531
0.485,3.57893,-0.578698
0.486,3.58483,-0.621463
0.487,3.57868,-0.578039
0.488,3.51969,-0.594677
0.489,3.51394,-0.668758
0.49,3.52515,-0.662334
0.491,3.51022,-0.707816
0.492,3.50737,-0.710345
0.493,3.42343,-0.754574
0.494,3.41446,-0.752268
0.495,3.44029,-0.757148
0.496,3.42279,-0.801004
0.497,3.38791,-0.81399
0.498,3.40737,-0.85277
0.499,3.36425,-0.868253
0.5,3.31445,-0.868112
0.501,3.34472,-0.857188
0.502,3.29224,-0.913093
0.503,3.31354,-0.912503
0.504,3.26913,-0.9564
0.505,3.24381,-0.970473
0.506,3.21076,-0.959277
0.507,3.21332,-0.971953
0.508,3.21636,-0.972799
0.509,3.18148,-1.0162
0.51,3.17552,-1.00053
0.511,3.16487,-1.00804
0.512,3.09023,-1.03895
0.513,3.1014,-1.05722
0.514,3.09077,-1.07008
0.515,3.05352,-1.06897
0.516,3.02113,-1.09072
0.517,3.04114,-1.11052
0.518,2.97407,-1.09528
0.519,2.97331,-1.09999
0.52,2.95127,-1.08622
0.521,2.94529,-1.12975
0.522,2.91408,-1.15423
0.523,2.8824,-1.12801
0.524,2.88539,-1.11946
0.525,2.87831,-1.14909
0.526,2.89219,-1.12893
0.527,2.835,-1.14838
0.528,2.84256,-1.13925
0.529,2.82425,-1.15322
0.53,2.78287,-1.13397
0.531,2.76808,-1.14313
0.532,2.8006,-1.12502
0.533,2.75237,-1.20591
0.534,2.70935,-1.17367
0.535,2.68341,-1.19021
0.536,2.67965,-1.14952
0.537,2.66856,-1.15199
0.538,2.66339,-1.15665
0.539,2.64601,-1.13842
0.54,2.64287,-1.16605
0.541,2.60026,-1.17868
0.542,2.59073,-1.16155
0.543,2.5914,-1.13533
0.544,2.5577,-1.18374
0.545,2.56325,-1.14711
0.546,2.54783,-1.1366
0.547,2.51841,-1.16723
0.548,2.52218,-1.19172
0.549,2.46795,-1.16542
0.55,2.47353,-1.17152
0.551,2.48155,-1.1538
0.552,2.47815,-1.17164
0.553,2.43317,-1.15049
0.554,2.44349,-1.13806
0.555,2.42638,-1.14932
0.556,2.38845,-1.1614
0.557,2.41734,-1.13107
0.558,2.41074,-1.15698
0.559,2.38192,-1.12134
0.56,2.38632,-1.15811
0.561,2.33923,-1.13614
0.562,2.35142,-1.10962
0.563,2.35124,-1.11909
0.564,2.3289,-1.10938
0.565,2.31386,-1.11056
0.566,2.3285,-1.11666
0.567,2.32554,-1.08504
0.568,2.27207,-1.1344
0.569,2.27587,-1.10614
0.57,2.27134,-1.11119
0.571,2.27037,-1.12003
0.572,2.24355,-1.12886
0.573,2.26155,-1.07737
